City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,Moranbah,-22.0016,148.0466,290.21,88,95,3.84,AU,2022-04-16 18:42:34
250,Kenai,60.5544,-151.2583,280.39,70,100,0.0,US,2022-04-16 18:42:34
251,Oakham,52.6667,-0.7333,289.98,64,87,3.09,GB,2022-04-16 18:42:35
252,Maraba,-5.3686,-49.1178,305.25,70,20,1.54,BR,2022-04-16 18:42:35
253,Namatanai,-3.6667,152.4333,299.18,81,95,1.37,PG,2022-04-16 18:42:35
254,Alyangula,-13.8483,136.4192,297.08,94,40,3.6,AU,2022-04-16 18:42:36
255,Ngunguru,-35.6167,174.5,291.77,80,100,7.46,NZ,2022-04-16 18:42:36
256,Leningradskiy,69.3833,178.4167,255.79,97,66,3.01,RU,2022-04-16 18:42:37
257,Kangundo,-1.2979,37.3471,295.34,91,100,1.78,KE,2022-04-16 18:42:37
258,Luderitz,-26.6481,15.1594,290.42,65,0,6.33,NA,2022-04-16 18:42:38
259,Vardo,70.3705,31.1107,277.17,91,100,10.13,NO,2022-04-16 18:42:38
260,Talara,-4.5772,-81.2719,301.57,51,0,6.69,PE,2022-04-16 18:42:39
261,Didao,45.3667,130.8,275.12,45,13,2.07,CN,2022-04-16 18:42:39
262,Sidi Ali,36.0998,0.4206,287.22,71,0,1.8,DZ,2022-04-16 18:42:39
263,Svarstad,59.399,9.9698,282.31,53,90,0.28,NO,2022-04-16 18:42:40
264,Oksfjord,70.2396,22.3479,280.37,98,100,9.88,NO,2022-04-16 18:42:40
265,Ola,59.5833,151.2833,262.14,81,4,3.61,RU,2022-04-16 18:42:41
266,Kampot,10.6167,104.1833,300.18,79,71,0.97,KH,2022-04-16 18:42:41
267,Chicama,-7.8447,-79.1469,291.45,61,56,5.09,PE,2022-04-16 18:42:42
268,Bambous Virieux,-20.3428,57.7575,299.29,78,75,5.14,MU,2022-04-16 18:42:42
269,Sao Joao Da Barra,-21.6403,-41.0511,300.2,65,85,7.45,BR,2022-04-16 18:40:14
270,Nichlaul,27.3167,83.7333,301.57,12,0,1.76,IN,2022-04-16 18:42:42
271,Troitsko-Pechorsk,62.7084,56.1964,267.25,86,100,2.95,RU,2022-04-16 18:42:43
272,Haines Junction,60.7522,-137.5108,272.12,51,100,0.51,CA,2022-04-16 18:42:43
273,Mersing,2.4312,103.8405,299.1,94,90,1.54,MY,2022-04-16 18:42:44
274,Maryville,35.7565,-83.9705,294.07,80,96,0.89,US,2022-04-16 18:42:15
275,Bluefields,12.0137,-83.7635,303.19,70,40,3.09,NI,2022-04-16 18:42:44
276,Karpathos,35.507,27.2132,290.13,72,100,6.17,GR,2022-04-16 18:42:45
277,Trussville,33.6198,-86.6089,294.98,86,100,0.45,US,2022-04-16 18:42:45
278,Dmytrivka,45.9717,28.9864,285.72,82,100,4.33,UA,2022-04-16 18:43:46
279,Pundaguitan,6.3711,126.1689,300.2,79,63,1.98,PH,2022-04-16 18:43:46
280,Alta Floresta,-9.8756,-56.0861,303.05,70,40,1.03,BR,2022-04-16 18:43:46
281,Kopervik,59.2835,5.3067,281.55,71,75,3.6,NO,2022-04-16 18:43:47
282,Spornoye,50.8448,37.2913,282.51,89,100,1.16,RU,2022-04-16 18:43:47
283,Lapua,62.9693,23.0088,277.53,86,14,2.18,FI,2022-04-16 18:43:48
284,Cidreira,-30.1811,-50.2056,293.27,62,100,3.29,BR,2022-04-16 18:43:48
285,Srednekolymsk,67.45,153.6833,252.25,100,100,1.37,RU,2022-04-16 18:43:48
